key,school,lat,lng
374,縣立鳳林國中,23.7444815,121.4489814
375,縣立萬榮國中,23.7078449,121.4189242
376,縣立仁愛國小,24.0219305,121.1326863
377,合作國小,24.0859716,121.2166931
378,互助國小,24.0634846,120.9684291
379,南豐國小,24.0004163,121.0793554
380,廬山國小,24.0347457,121.1858484
381,都達國小,24.0594756,121.1919766
382,春陽國小,24.0594756,121.1919766
383,縣立清境國小,24.0435119,121.1581053
384,縣立北梅國中,24.0572269,120.9116462
385,縣立仁愛國中,24.0311371,121.14262
