key,school,lat,lng,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,全校班級數,全校學生數,原住民籍學生總數,主要/次要民族（30%以上）                     ,主要民族學生總數,次要民族學生總數,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
33,縣立寧埔國小,23.2488795,121.3884671,臺東縣長濱鄉寧埔國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉寧埔村十鄰41號,6,45,41,阿美族,36,0,36,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
34,縣立竹湖國小,23.3028833,121.4196045,臺東縣長濱鄉竹湖國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉竹湖村十鄰14號,6,30,18,阿美族,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,縣立三間國小,23.3557728,121.4680766,臺東縣長濱鄉三間國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉三間村七鄰16號,6,37,20,阿美族,19,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,縣立樟原國小,23.413682,121.4831012,臺東縣長濱鄉樟原國民小學,國小,臺東縣,公立,是,是,[962]臺東縣長濱鄉樟原村一鄰7號,5,21,21,阿美族,16,0,16,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
37,縣立興隆國小,22.8950275,121.2479246,臺東縣東河鄉興隆國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉興昌村155號,6,50,21,阿美族,19,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,縣立明恥國小,23.9921521,121.6309865,花蓮縣花蓮市明恥國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市中興路41號,14,239,111,阿美族,57,0,57,9,0,10,2,0,0,0,0,0,1,29,0,3,0,0,0
39,縣立信義國小,23.970891,121.6063849,花蓮縣花蓮市信義國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市主計里信義街1號,6,75,31,阿美族,18,0,18,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0
40,縣立復興國小,24.0064795,121.6184133,花蓮縣花蓮市復興國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市府前路682號,6,120,66,阿美族,41,0,41,4,0,2,2,0,0,0,0,0,0,16,0,1,0,0,0
41,縣立中華國小,23.9924783,121.6067409,花蓮縣花蓮市中華國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市國盛二街22號,14,287,112,阿美族,66,0,66,8,1,6,0,0,0,0,0,0,2,29,0,0,0,0,0
42,縣立國福國小,24.0092193,121.5806043,花蓮縣花蓮市國福國民小學,國小,花蓮縣,公立,是,是,[970]花蓮縣花蓮市福光街277巷1號,6,28,17,阿美族,13,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
43,縣立北埔國小,24.0318043,121.6048396,花蓮縣新城鄉北埔國民小學,國小,花蓮縣,公立,是,是,[971]花蓮縣新城鄉北埔路170號,18,408,261,阿美族/太魯閣族,134,91,134,11,1,16,1,1,0,1,0,0,0,91,5,0,0,0,0
44,縣立嘉里國小,24.0142977,121.6089971,花蓮縣新城鄉嘉里國民小學,國小,花蓮縣,公立,是,是,[971]花蓮縣新城鄉嘉里村嘉里三街28號,6,73,44,阿美族,24,0,24,3,0,4,1,0,0,0,0,0,1,11,0,0,0,0,0
45,縣立吉安國小,23.9733369,121.5629335,花蓮縣吉安鄉吉安國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉吉安路二段97號,12,222,94,阿美族/太魯閣族,40,33,40,3,2,13,1,0,0,0,0,0,2,33,0,0,0,0,0
46,縣立宜昌國小,23.9710905,121.5854603,花蓮縣吉安鄉宜昌國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉宜昌一街45號,31,820,304,阿美族,228,0,228,8,6,16,5,0,0,0,0,0,2,36,0,1,2,0,0
47,縣立光華國小,23.935626,121.5789465,花蓮縣吉安鄉光華國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉光華村光華二街180號,6,73,42,阿美族,26,0,26,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
48,縣立南華國小,23.9486147,121.5479174,花蓮縣吉安鄉南華國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉干城村吉安路6段60號,6,81,41,阿美族/太魯閣族,24,14,24,1,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0
49,縣立化仁國小,23.9627687,121.5965396,花蓮縣吉安鄉化仁國民小學,國小,花蓮縣,公立,是,是,[973]花蓮縣吉安鄉東里十一街83號,12,222,143,阿美族,117,0,117,4,1,6,0,0,0,1,0,0,1,13,0,0,0,0,0
50,縣立壽豐國小,23.8705053,121.5080429,花蓮縣吉安鄉太昌國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉壽豐村壽山路37號,6,133,68,阿美族,59,0,59,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
51,縣立豐裡國小,23.8416086,121.5077305,花蓮縣壽豐鄉壽豐國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉豐裡村中山路299號,6,78,32,阿美族,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,縣立平和國小,23.8838669,121.5192003,花蓮縣壽豐鄉豐裡國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉平和路34號,6,39,13,阿美族,10,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,縣立溪口國小,23.8191625,121.4734668,花蓮縣壽豐鄉溪口國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉溪口村溪口路87號,6,27,18,阿美族,15,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,縣立月眉國小,23.8681506,121.5560897,花蓮縣壽豐鄉月眉國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉月眉村月眉三段24號,6,29,24,阿美族,22,0,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,縣立水璉國小,23.7830063,121.5641899,花蓮縣壽豐鄉水璉國民小學,國小,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉水璉村水璉二街20號,6,30,21,阿美族,20,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,縣立大榮國小,23.7541226,121.46864,花蓮縣鳳林鎮大榮國民小學,國小,花蓮縣,公立,是,是,[975]花蓮縣鳳林鎮大榮里復興路85號,6,38,22,阿美族/布農族,12,7,12,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0
57,光復國小,23.6736105,121.4271944,花蓮縣光復鄉光復國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大馬村中山路三段75號,8,144,103,阿美族,90,0,90,2,1,0,1,0,1,0,0,0,3,5,0,0,0,0,0
58,太巴塱國小,23.6599411,121.4486881,花蓮縣光復鄉太巴塱國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉中正路二段23號,6,100,90,阿美族,89,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,縣立瑞穗國小,23.4971096,121.3740296,花蓮縣瑞穗鄉瑞穗國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉溫泉路一段19號,13,237,107,阿美族,64,0,64,4,1,11,0,1,1,0,0,0,0,22,3,0,0,0,0
60,縣立瑞美國小,23.4935669,121.3914663,花蓮縣瑞穗鄉瑞美國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉中山路二段389號,6,45,22,阿美族,21,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,縣立鶴岡國小,23.5234112,121.3904317,花蓮縣瑞穗鄉鶴岡國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉鶴岡村167號,6,16,14,阿美族,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,縣立舞鶴國小,23.4479003,121.3540722,花蓮縣瑞穗鄉舞鶴國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉舞鶴村64號,6,29,23,阿美族,16,0,16,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
63,縣立富源國小,23.5785546,121.3755732,花蓮縣瑞穗鄉富源國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉富源村30號,6,78,59,阿美族,51,0,51,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
64,縣立豐濱國小,23.5975123,121.520752,花蓮縣豐濱鄉豐濱國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉豐濱村民族街5號,6,48,37,阿美族,33,0,33,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
65,港口國小,23.4684753,121.496781,花蓮縣豐濱鄉港口國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉港口村43號,5,14,14,阿美族,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,縣立靜浦國小,23.4615277,121.4950783,花蓮縣豐濱鄉靜浦國民小學,國小,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉靜浦村64號,6,14,13,阿美族,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,縣立觀音國小,23.3950128,121.3566521,花蓮縣玉里鎮觀音國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮觀音里16鄰9號,6,16,12,阿美族/布農族,8,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
68,縣立高寮國小,23.3829887,121.3589776,花蓮縣玉里鎮高寮國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮高寮92號,6,46,30,阿美族,27,0,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,縣立松浦國小,23.428489,121.373591,花蓮縣玉里鎮松浦國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮松浦里12鄰212號,6,54,45,阿美族,44,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,縣立春日國小,23.4519949,121.3931207,花蓮縣玉里鎮春日國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮春日里泰林95號,6,39,31,阿美族,29,0,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,德武國小,23.4664745,121.4053574,花蓮縣玉里鎮德武國民小學,國小,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮德武里9鄰171號,6,27,27,阿美族,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,縣立明里國小,23.200798,121.250755,花蓮縣富里鄉明里國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉明里村1鄰16號,6,33,18,阿美族/布農族,11,6,11,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
